,dimension,hierarchy,caption,datatype,name,role,type,aggregation
0,Bottle Volume,,Bottle_Volume_ml,real,[bottle_volume_ml],dimension,ordinal,
1,Date,Date H_Date,Year,date,[year],dimension,ordinal,
2,Date,Date H_Date,Quarter,date,[quarter],dimension,ordinal,
3,Date,Date H_Date,Month,date,[month],dimension,ordinal,
4,Date,Date H_Date,Day,date,[day],dimension,ordinal,
5,Date,,datekey,date,[datekey],dimension,ordinal,
6,Invoices,Invoices H_Invoices,inv_store_name,string,[inv_store_name],dimension,nominal,
7,Invoices,Invoices H_Invoices,invoice_number,string,[invoice_number],dimension,nominal,
8,Invoices,Invoices H_Invoices,Invoice Item,string,[invoice item],dimension,nominal,
9,Invoices,,invoice_line_number,real,[invoice_line_number],dimension,ordinal,
10,Item,Item H_Item,class,string,[class],dimension,nominal,
11,Item,Item H_Item,Category,string,[category],dimension,nominal,
12,Item,Item H_Item,Item,string,[item],dimension,nominal,
13,Item,,item_number,string,[item_number],dimension,nominal,
14,Item,,category_1,string,[item_category],dimension,nominal,
15,Item,,high_alcohol,string,[high_alcohol],dimension,nominal,
16,Item,,Imported,string,[imported],dimension,nominal,
17,Item,,price_category,string,[price_category],dimension,nominal,
18,Pack,,pack,real,[pack],dimension,ordinal,
19,Property,Property H_Property,Property Category,string,[property category],dimension,nominal,
20,Property,Property H_Property,Property Sub Category,string,[property sub category],dimension,nominal,
21,Property,Property H_Property,Property,string,[property],dimension,nominal,
22,Property,,relationship,string,[relationship],dimension,nominal,
23,Property,,propertykey,real,[propertykey],dimension,ordinal,
24,Property Value,Property Value H_Property Value,Heading,string,[heading],dimension,nominal,
25,Property Value,Property Value H_Property Value,Property Group,string,[property group],dimension,nominal,
26,Property Value,Property Value H_Property Value,Property Value,string,[property value],dimension,nominal,
27,Property Value,,propertygroupid,real,[propertygroupid],dimension,ordinal,
28,Store,Store H_Store,County,string,[county],dimension,nominal,
29,Store,Store H_Store,Zip Code,string,[zip code],dimension,nominal,
30,Store,Store H_Store,Store,string,[store],dimension,nominal,
31,Store,,county_number,real,[county_number],dimension,ordinal,
32,Store,,store_number,real,[store_number],dimension,ordinal,
33,Vendor,Vendor H_Vendor,Vendor,real,[vendor],dimension,ordinal,
34,Vendor,,vendor_number,real,[vendor_number],dimension,ordinal,
